epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5777,1.99494,2.15367,1.71199,0.08282,0.19427,0.07604,0.02571,2.51725,3.09624,2.30612,0.0701288,0.00331903,0.00331903
2,103.762,1.92171,1.70743,1.69467,0.2642,0.48994,0.3081,0.11211,1.82313,2.3533,1.76988,0.039997,0.00652064,0.00652064
3,152.72,1.89358,1.66824,1.68418,0.30063,0.59333,0.46527,0.19811,1.78329,1.4685,1.73514,0.00973332,0.00959026,0.00959026
4,201.998,1.87002,1.64793,1.6567,0.24109,0.26874,0.17492,0.07458,2.23658,inf,5.37825,0.009406,0.009406,0.009406
5,250.49,1.82078,1.5264,1.62753,0.34198,0.71455,0.51092,0.19872,1.72019,1.54193,1.71334,0.009208,0.009208,0.009208
6,299.048,1.82723,1.51843,1.63075,0.56302,0.25087,0.34437,0.14008,1.76771,1.71185,1.77916,0.00901,0.00901,0.00901
7,347.533,1.7975,1.46217,1.62104,0.44585,0.55552,0.47309,0.1874,1.76302,1.46562,1.72907,0.008812,0.008812,0.008812
8,396.189,1.78115,1.44902,1.60545,0.50607,0.64276,0.57094,0.22258,1.6826,1.42098,1.65381,0.008614,0.008614,0.008614
9,444.592,1.78401,1.45036,1.59699,0.43768,0.62417,0.56538,0.24741,1.7171,1.41635,1.68205,0.008416,0.008416,0.008416
10,493.106,1.7853,1.41954,1.61451,0.52764,0.66618,0.58723,0.26119,1.62648,1.38963,1.61472,0.008218,0.008218,0.008218
11,541.609,1.76748,1.39479,1.58556,0.36625,0.45059,0.39795,0.16084,1.93196,1.75194,1.84131,0.00802,0.00802,0.00802
12,590.184,1.75214,1.39757,1.583,0.61429,0.68336,0.68173,0.3206,1.64055,1.35191,1.61998,0.007822,0.007822,0.007822
13,638.821,1.74683,1.37864,1.57779,0.57809,0.76369,0.669,0.30543,1.65271,1.30756,1.62676,0.007624,0.007624,0.007624
14,687.24,1.76444,1.39194,1.59981,0.54178,0.57508,0.5858,0.23687,1.80659,1.51192,1.76935,0.007426,0.007426,0.007426
15,735.883,1.75744,1.35665,1.58377,0.47227,0.63916,0.54619,0.23089,1.66157,1.37013,1.66673,0.007228,0.007228,0.007228
16,784.529,1.72238,1.36624,1.57708,0.6222,0.72981,0.74642,0.3362,1.70313,1.29103,1.66149,0.00703,0.00703,0.00703
17,833.061,1.72837,1.32938,1.56207,0.71108,0.70373,0.73865,0.33623,1.71905,1.28149,1.65332,0.006832,0.006832,0.006832
18,881.454,1.746,1.34824,1.58325,0.68744,0.68467,0.73138,0.34017,1.70289,1.22377,1.65671,0.006634,0.006634,0.006634
19,929.952,1.72268,1.33551,1.56196,0.66195,0.74122,0.77096,0.36075,1.66384,1.29477,1.63585,0.006436,0.006436,0.006436
20,978.53,1.74344,1.30825,1.55537,0.72224,0.78927,0.80888,0.35796,1.66831,1.24602,1.64511,0.006238,0.006238,0.006238
21,1027.06,1.72822,1.32043,1.56572,0.62815,0.73771,0.70593,0.31634,1.6239,1.28857,1.60217,0.00604,0.00604,0.00604
22,1075.79,1.71905,1.3144,1.56956,0.70197,0.73919,0.75451,0.38685,1.59678,1.29226,1.59726,0.005842,0.005842,0.005842
23,1124.36,1.71825,1.30887,1.55069,0.67812,0.66709,0.69426,0.31579,1.69409,1.33047,1.65345,0.005644,0.005644,0.005644
24,1172.78,1.70574,1.29938,1.54697,0.67735,0.78695,0.79525,0.3848,1.61492,1.23563,1.59709,0.005446,0.005446,0.005446
25,1221.22,1.70123,1.30161,1.53917,0.66394,0.73672,0.75588,0.37201,1.61479,1.24857,1.58833,0.005248,0.005248,0.005248
26,1269.68,1.70089,1.28216,1.53245,0.68016,0.74163,0.80456,0.37464,1.6431,1.21465,1.6034,0.00505,0.00505,0.00505
27,1318.1,1.69961,1.27697,1.54824,0.74325,0.7607,0.78713,0.36501,1.67456,1.26259,1.64405,0.004852,0.004852,0.004852
28,1366.57,1.69403,1.27899,1.52964,0.76025,0.72718,0.79972,0.37151,1.59435,1.25639,1.57516,0.004654,0.004654,0.004654
29,1415.05,1.68268,1.27083,1.51935,0.72593,0.80388,0.82185,0.40076,1.60067,1.21779,1.57644,0.004456,0.004456,0.004456
30,1463.75,1.68333,1.2673,1.52486,0.79163,0.78914,0.8331,0.40675,1.60606,1.19319,1.57879,0.004258,0.004258,0.004258
31,1512.21,1.68986,1.26276,1.53155,0.67873,0.74113,0.76756,0.37898,1.62582,1.21042,1.60115,0.00406,0.00406,0.00406
32,1560.79,1.67761,1.25948,1.52063,0.77733,0.78709,0.83993,0.41552,1.58981,1.19367,1.56935,0.003862,0.003862,0.003862
33,1609.28,1.67399,1.23011,1.51192,0.73646,0.81508,0.83294,0.41167,1.62364,1.17073,1.5917,0.003664,0.003664,0.003664
34,1657.74,1.67295,1.23327,1.52689,0.7882,0.77655,0.82318,0.40737,1.63421,1.16546,1.61063,0.003466,0.003466,0.003466
35,1706.15,1.68222,1.23055,1.51768,0.7823,0.79045,0.82864,0.38507,1.61121,1.16866,1.5796,0.003268,0.003268,0.003268
36,1754.61,1.67897,1.21991,1.51387,0.79073,0.77946,0.81288,0.38084,1.62649,1.19487,1.59482,0.00307,0.00307,0.00307
37,1803.45,1.65709,1.22905,1.51296,0.74606,0.81864,0.82033,0.42187,1.57148,1.20728,1.55149,0.002872,0.002872,0.002872
38,1852.85,1.66901,1.21868,1.50083,0.78271,0.80222,0.829,0.42223,1.57722,1.15332,1.56192,0.002674,0.002674,0.002674
39,1901.8,1.66312,1.20509,1.50215,0.73575,0.82971,0.81933,0.41372,1.59198,1.16828,1.57723,0.002476,0.002476,0.002476
40,1950.38,1.65352,1.22377,1.50374,0.72294,0.78737,0.77786,0.37717,1.66028,1.16755,1.62144,0.002278,0.002278,0.002278
41,2000.63,1.6424,1.18828,1.56287,0.76387,0.78786,0.79269,0.40832,1.58919,1.18476,1.57032,0.00208,0.00208,0.00208
42,2049.09,1.63267,1.17026,1.56461,0.74464,0.81066,0.81718,0.42353,1.59874,1.15843,1.57019,0.001882,0.001882,0.001882
43,2097.66,1.6359,1.15905,1.56259,0.74234,0.82221,0.82897,0.4252,1.57397,1.14623,1.56433,0.001684,0.001684,0.001684
44,2146.07,1.62054,1.14281,1.55314,0.77325,0.83134,0.84028,0.42902,1.57718,1.12077,1.55338,0.001486,0.001486,0.001486
45,2194.52,1.62542,1.14271,1.56046,0.81977,0.8307,0.85077,0.42853,1.59264,1.11351,1.56752,0.001288,0.001288,0.001288
46,2243.3,1.6354,1.12801,1.55432,0.74546,0.86127,0.85874,0.44446,1.56708,1.13866,1.54409,0.00109,0.00109,0.00109
47,2291.8,1.61604,1.12393,1.54728,0.77511,0.85431,0.8706,0.45541,1.56189,1.12049,1.53947,0.000892,0.000892,0.000892
48,2340.44,1.60869,1.1235,1.54372,0.74569,0.86194,0.85806,0.44707,1.56902,1.10849,1.55204,0.000694,0.000694,0.000694
49,2388.73,1.60017,1.11332,1.53574,0.78741,0.86041,0.87012,0.4565,1.57963,1.09389,1.55422,0.000496,0.000496,0.000496
50,2436.95,1.6038,1.09214,1.53609,0.79455,0.85071,0.86798,0.44863,1.57981,1.08676,1.55764,0.000298,0.000298,0.000298
